Order ID,Order Date,Ship Date,Region,State,Segment,Category,Sub-Category,Product Name,Quantity,Unit Price,Discount %,Sales,Profit,Customer Name
ORD-100029,2024-12-06,2024-12-12,South,Alabama,Corporate,Technology,Machines,Furnishings Model 1 (Furniture),6,62.46,5.0,356.02,52.67,Kappa LLC
ORD-100030,2023-09-07,2023-09-15,East,New York,Home Office,Furniture,Furnishings,Art Model 10 (Office Supplies),1,71.49,15.0,60.77,12.7,Beta Corp
ORD-100031,2023-03-13,2023-03-22,West,Washington,Corporate,Furniture,Chairs,Binders Model 8 (Office Supplies),3,185.1,15.0,472.0,105.93,Gamma Solutions
ORD-100032,2023-09-12,2023-09-22,South,North Carolina,Home Office,Furniture,Tables,Storage Model 10 (Technology),5,225.69,15.0,959.18,100.96,Beta LLC
ORD-100033,2023-06-26,2023-06-28,South,North Carolina,Home Office,Furniture,Tables,Furnishings Model 7 (Furniture),2,206.99,10.0,372.58,41.51,Delta Inc
ORD-100034,2023-02-21,2023-02-26,East,Massachusetts,Corporate,Furniture,Bookcases,Phones Model 2 (Technology),4,261.8,10.0,942.48,198.7,Epsilon Corp
ORD-100035,2022-01-08,2022-01-14,Central,Michigan,Home Office,Furniture,Furnishings,Art Model 1 (Office Supplies),8,107.26,0.0,858.08,142.26,Kappa Enterprises
ORD-100036,2022-01-20,2022-01-22,West,Oregon,Corporate,Technology,Phones,Machines Model 7 (Technology),1,955.52,0.0,955.52,36.28,Gamma Solutions
ORD-100037,2022-09-19,2022-09-20,East,New York,Consumer,Office Supplies,Paper,Phones Model 8 (Technology),1,6.96,0.0,6.96,1.6,Beta Inc
ORD-100038,2024-04-12,2024-04-22,Central,Ohio,Corporate,Furniture,Chairs,Storage Model 3 (Technology),3,205.47,0.0,616.41,86.85,Alpha LLC
ORD-100039,2023-11-12,2023-11-19,South,Alabama,Home Office,Office Supplies,Paper,Machines Model 1 (Technology),6,7.87,0.0,47.22,11.48,Beta Solutions
ORD-100040,2022-03-21,2022-03-29,West,Nevada,Consumer,Office Supplies,Labels,Machines Model 6 (Technology),4,10.73,0.0,42.92,9.05,Delta Corp
ORD-100041,2023-01-31,2023-02-07,East,New York,Home Office,Office Supplies,Labels,Phones Model 3 (Technology),6,1.33,0.0,7.98,1.76,Kappa Enterprises
ORD-100042,2023-11-10,2023-11-11,West,Washington,Consumer,Furniture,Tables,Bookcases Model 5 (Furniture),1,171.51,0.0,171.51,50.14,Kappa Inc
ORD-100043,2023-10-05,2023-10-12,Central,Missouri,Home Office,Furniture,Furnishings,Storage Model 6 (Technology),2,39.4,5.0,74.86,7.63,Delta Inc
ORD-100044,2022-04-01,2022-04-08,West,Arizona,Corporate,Technology,Accessories,Binders Model 7 (Office Supplies),1,745.91,0.0,745.91,47.63,Beta Inc
ORD-100045,2023-10-05,2023-10-07,Central,Michigan,Corporate,Technology,Machines,Phones Model 6 (Technology),3,351.41,0.0,1054.23,161.99,Zeta Solutions
ORD-100046,2023-08-29,2023-09-07,West,Nevada,Home Office,Technology,Storage,Phones Model 7 (Technology),5,363.57,15.0,1545.17,286.32,Gamma Enterprises
ORD-100047,2023-09-09,2023-09-16,East,New York,Corporate,Office Supplies,Labels,Tables Model 7 (Furniture),2,17.53,0.0,35.06,7.46,Zeta Solutions
ORD-100048,2024-06-23,2024-07-01,Central,Missouri,Consumer,Office Supplies,Paper,Phones Model 5 (Technology),2,9.7,0.0,19.4,5.84,Epsilon Enterprises
ORD-100049,2023-11-18,2023-11-20,South,Alabama,Consumer,Technology,Machines,Tables Model 9 (Furniture),6,579.35,20.0,2780.88,518.97,Gamma Corp
ORD-100050,2022-04-05,2022-04-09,South,North Carolina,Home Office,Furniture,Furnishings,Paper Model 4 (Office Supplies),3,386.34,10.0,1043.12,160.25,Delta Solutions
ORD-100051,2024-10-09,2024-10-16,West,California,Consumer,Furniture,Furnishings,Tables Model 9 (Furniture),2,137.22,10.0,247.0,58.53,Lambda Corp
ORD-100052,2023-05-26,2023-05-28,East,Pennsylvania,Corporate,Technology,Machines,Accessories Model 7 (Technology),1,477.8,15.0,406.13,57.75,Kappa Enterprises
ORD-100053,2024-07-02,2024-07-05,Central,Texas,Consumer,Office Supplies,Labels,Accessories Model 7 (Technology),3,25.84,10.0,69.77,12.43,Epsilon Enterprises
ORD-100054,2024-09-19,2024-09-23,West,California,Corporate,Technology,Machines,Furnishings Model 1 (Furniture),3,418.19,0.0,1254.57,137.21,Zeta Inc
ORD-100055,2022-06-15,2022-06-18,West,Nevada,Consumer,Technology,Accessories,Accessories Model 1 (Technology),2,499.1,5.0,948.29,110.17,Beta Solutions
ORD-100056,2024-04-14,2024-04-20,East,Pennsylvania,Corporate,Furniture,Chairs,Machines Model 7 (Technology),1,148.0,10.0,133.2,25.6,Kappa Enterprises
ORD-100057,2022-02-10,2022-02-20,East,New York,Corporate,Office Supplies,Labels,Accessories Model 7 (Technology),2,25.39,15.01,43.16,9.55,Kappa Enterprises
ORD-100058,2023-03-28,2023-04-05,West,Nevada,Corporate,Office Supplies,Binders,Binders Model 10 (Office Supplies),3,17.8,0.0,53.4,18.08,Kappa LLC
ORD-100059,2024-08-15,2024-08-18,South,North Carolina,Home Office,Furniture,Furnishings,Art Model 6 (Office Supplies),2,197.78,0.0,395.56,64.35,Alpha Corp
ORD-100060,2024-05-27,2024-05-30,South,Alabama,Corporate,Furniture,Tables,Binders Model 9 (Office Supplies),1,352.54,0.0,352.54,79.76,Delta Solutions
ORD-100061,2023-11-01,2023-11-07,Central,Texas,Consumer,Office Supplies,Art,Furnishings Model 3 (Furniture),4,15.63,19.99,50.02,15.46,Lambda Corp
ORD-100062,2022-04-17,2022-04-23,West,California,Consumer,Technology,Phones,Accessories Model 7 (Technology),1,405.88,5.0,385.59,69.36,Delta LLC
ORD-100063,2022-02-11,2022-02-21,West,Oregon,Consumer,Office Supplies,Binders,Art Model 3 (Office Supplies),5,14.0,5.0,66.5,20.52,Lambda Inc
ORD-100064,2024-01-26,2024-01-29,Central,Illinois,Home Office,Furniture,Tables,Chairs Model 4 (Furniture),2,323.91,0.0,647.82,46.25,Alpha Inc
ORD-100065,2024-02-08,2024-02-15,South,Alabama,Home Office,Furniture,Chairs,Chairs Model 4 (Furniture),7,41.57,15.0,247.34,71.7,Epsilon Enterprises
ORD-100066,2022-09-05,2022-09-15,Central,Michigan,Corporate,Technology,Storage,Phones Model 5 (Technology),1,382.33,10.0,344.1,45.79,Beta Enterprises
ORD-100067,2023-11-30,2023-12-01,South,Tennessee,Home Office,Furniture,Furnishings,Binders Model 7 (Office Supplies),3,186.26,0.0,558.78,142.08,Lambda LLC
ORD-100068,2024-06-10,2024-06-13,Central,Michigan,Corporate,Technology,Storage,Paper Model 10 (Office Supplies),1,462.25,20.0,369.8,62.18,Epsilon Inc
ORD-100069,2023-05-18,2023-05-20,West,Nevada,Home Office,Furniture,Furnishings,Art Model 3 (Office Supplies),6,35.77,5.0,203.89,43.25,Kappa Inc
ORD-100070,2022-02-28,2022-03-08,South,Alabama,Corporate,Office Supplies,Paper,Binders Model 6 (Office Supplies),2,17.18,10.01,30.92,11.53,Zeta Inc
ORD-100071,2023-07-20,2023-07-29,West,Oregon,Corporate,Furniture,Chairs,Accessories Model 3 (Technology),5,277.45,5.0,1317.89,345.44,Lambda Enterprises
ORD-100072,2023-05-08,2023-05-16,Central,Texas,Corporate,Office Supplies,Binders,Chairs Model 2 (Furniture),1,0.58,0.0,0.58,0.2,Delta Solutions
ORD-100073,2023-05-14,2023-05-19,Central,Michigan,Home Office,Office Supplies,Labels,Paper Model 5 (Office Supplies),5,0.33,0.0,1.65,0.41,Zeta Inc
ORD-100074,2024-07-18,2024-07-23,East,New Jersey,Consumer,Furniture,Chairs,Binders Model 1 (Office Supplies),4,243.99,0.0,975.96,120.64,Gamma LLC
ORD-100075,2023-03-20,2023-03-28,West,Arizona,Consumer,Technology,Machines,Chairs Model 3 (Furniture),4,272.74,0.0,1090.96,111.74,Epsilon LLC
ORD-100076,2024-01-10,2024-01-13,East,Florida,Consumer,Furniture,Tables,Bookcases Model 6 (Furniture),1,27.91,0.0,27.91,4.7,Epsilon LLC
ORD-100077,2024-10-02,2024-10-04,South,North Carolina,Corporate,Office Supplies,Art,Labels Model 2 (Office Supplies),2,19.63,0.0,39.26,12.65,Zeta LLC
ORD-100078,2022-04-16,2022-04-21,South,Tennessee,Corporate,Furniture,Bookcases,Paper Model 2 (Office Supplies),2,302.16,5.0,574.1,81.97,Beta Enterprises
ORD-100079,2022-04-20,2022-04-23,West,Arizona,Consumer,Office Supplies,Binders,Furnishings Model 2 (Furniture),1,12.52,5.03,11.89,1.33,Kappa Enterprises
ORD-100080,2023-04-08,2023-04-17,East,Pennsylvania,Home Office,Office Supplies,Art,Furnishings Model 10 (Furniture),3,22.66,10.0,61.18,11.67,Alpha Enterprises
ORD-100081,2022-07-23,2022-07-27,Central,Michigan,Consumer,Technology,Phones,Tables Model 1 (Furniture),2,765.71,0.0,1531.42,3.97,Gamma Enterprises
ORD-100082,2022-06-03,2022-06-06,West,Nevada,Consumer,Technology,Storage,Furnishings Model 8 (Furniture),2,145.3,0.0,290.6,32.18,Delta Inc
ORD-100083,2023-08-03,2023-08-11,West,Oregon,Consumer,Office Supplies,Paper,Paper Model 5 (Office Supplies),3,14.93,0.0,44.79,15.17,Delta LLC
ORD-100084,2023-06-29,2023-07-02,West,Oregon,Consumer,Office Supplies,Labels,Paper Model 7 (Office Supplies),4,7.12,4.99,27.06,4.52,Lambda Inc
ORD-100085,2024-04-04,2024-04-09,East,Pennsylvania,Consumer,Office Supplies,Binders,Art Model 7 (Office Supplies),4,9.14,0.0,36.56,8.07,Kappa Inc
ORD-100086,2023-05-28,2023-05-29,West,Arizona,Home Office,Technology,Phones,Accessories Model 8 (Technology),1,200.66,20.0,160.53,30.67,Epsilon Enterprises
ORD-100087,2022-03-24,2022-03-27,East,Pennsylvania,Corporate,Office Supplies,Paper,Art Model 5 (Office Supplies),1,9.81,0.0,9.81,2.9,Lambda Corp
ORD-100088,2024-08-20,2024-08-26,East,Massachusetts,Consumer,Technology,Phones,Machines Model 10 (Technology),5,264.51,0.0,1322.55,118.87,Zeta Solutions
ORD-100089,2024-10-11,2024-10-16,Central,Texas,Consumer,Technology,Phones,Paper Model 9 (Office Supplies),2,34.17,0.0,68.34,13.52,Zeta Inc
ORD-100090,2023-10-25,2023-10-27,South,Tennessee,Home Office,Technology,Phones,Phones Model 5 (Technology),2,364.35,0.0,728.7,91.49,Lambda Solutions
ORD-100091,2022-04-22,2022-04-26,East,Florida,Consumer,Office Supplies,Art,Accessories Model 8 (Technology),2,9.58,5.01,18.2,5.38,Delta Inc
ORD-100092,2022-09-26,2022-10-01,East,Pennsylvania,Home Office,Furniture,Bookcases,Phones Model 1 (Technology),4,220.37,0.0,881.48,163.39,Delta LLC
ORD-100093,2023-09-29,2023-10-08,West,Nevada,Consumer,Furniture,Chairs,Machines Model 8 (Technology),1,340.13,0.0,340.13,66.42,Lambda Corp
ORD-100094,2022-11-12,2022-11-20,South,Louisiana,Corporate,Technology,Machines,Paper Model 4 (Office Supplies),2,494.67,5.0,939.87,117.24,Lambda LLC
ORD-100095,2024-07-24,2024-08-02,West,Oregon,Consumer,Technology,Accessories,Storage Model 1 (Technology),5,237.66,0.0,1188.3,19.23,Epsilon Solutions
ORD-100096,2023-11-28,2023-12-07,West,California,Home Office,Office Supplies,Labels,Machines Model 8 (Technology),4,23.03,5.0,87.51,22.38,Lambda LLC
ORD-100097,2024-07-03,2024-07-12,East,Massachusetts,Corporate,Technology,Storage,Paper Model 9 (Office Supplies),3,481.24,5.0,1371.53,171.55,Delta LLC
ORD-100098,2024-02-24,2024-02-28,South,Tennessee,Corporate,Furniture,Tables,Accessories Model 6 (Technology),4,299.64,0.0,1198.56,154.18,Kappa Solutions
ORD-100099,2022-11-08,2022-11-16,South,Alabama,Consumer,Technology,Machines,Storage Model 2 (Technology),5,708.87,0.0,3544.35,437.1,Lambda Corp
ORD-100100,2024-12-13,2024-12-21,West,Oregon,Corporate,Office Supplies,Paper,Bookcases Model 10 (Furniture),5,8.04,-0.0,40.2,7.05,Epsilon Inc
ORD-100101,2024-03-25,2024-03-27,South,North Carolina,Home Office,Office Supplies,Labels,Phones Model 1 (Technology),5,16.62,4.99,78.95,32.26,Lambda Enterprises
ORD-100102,2022-03-15,2022-03-25,West,Washington,Consumer,Furniture,Bookcases,Paper Model 6 (Office Supplies),1,413.86,15.0,351.78,75.78,Beta Solutions
ORD-100103,2022-12-07,2022-12-12,South,Georgia,Corporate,Office Supplies,Binders,Furnishings Model 8 (Furniture),3,29.34,15.0,74.82,16.41,Zeta Solutions
ORD-100104,2022-10-26,2022-10-30,East,Florida,Consumer,Technology,Accessories,Tables Model 2 (Furniture),2,413.37,0.0,826.74,178.29,Beta Enterprises
ORD-100105,2024-02-23,2024-03-04,Central,Texas,Corporate,Technology,Accessories,Tables Model 10 (Furniture),1,657.04,0.0,657.04,75.58,Epsilon Solutions
ORD-100106,2023-06-07,2023-06-08,South,Tennessee,Corporate,Office Supplies,Paper,Bookcases Model 10 (Furniture),4,26.43,0.0,105.72,21.24,Zeta Enterprises
ORD-100107,2023-09-05,2023-09-12,Central,Texas,Corporate,Office Supplies,Paper,Binders Model 10 (Office Supplies),2,14.94,0.0,29.88,5.11,Beta LLC
ORD-100108,2024-02-21,2024-03-02,East,Massachusetts,Home Office,Technology,Machines,Bookcases Model 3 (Furniture),4,155.87,15.0,529.96,95.92,Kappa Inc
ORD-100109,2022-01-17,2022-01-27,South,Georgia,Corporate,Technology,Storage,Machines Model 7 (Technology),2,400.17,0.0,800.34,127.65,Delta Enterprises
ORD-100110,2023-12-23,2023-12-27,Central,Missouri,Consumer,Office Supplies,Paper,Phones Model 1 (Technology),2,13.97,0.0,27.94,7.24,Alpha Inc
ORD-100111,2024-06-21,2024-06-22,Central,Ohio,Home Office,Furniture,Tables,Binders Model 2 (Office Supplies),1,508.39,0.0,508.39,57.74,Kappa LLC
ORD-100112,2023-02-16,2023-02-19,Central,Michigan,Consumer,Technology,Machines,Machines Model 7 (Technology),4,117.39,0.0,469.56,76.17,Epsilon Solutions
ORD-100113,2023-08-28,2023-09-03,South,Tennessee,Consumer,Furniture,Chairs,Accessories Model 7 (Technology),5,312.28,-0.0,1561.4,400.18,Kappa Enterprises
ORD-100114,2024-01-20,2024-01-22,Central,Illinois,Corporate,Office Supplies,Binders,Paper Model 9 (Office Supplies),2,10.28,5.01,19.53,5.46,Epsilon Enterprises
ORD-100115,2024-02-20,2024-02-26,West,Oregon,Home Office,Office Supplies,Binders,Art Model 10 (Office Supplies),1,22.32,9.99,20.09,3.89,Zeta Enterprises
ORD-100116,2023-03-30,2023-04-01,Central,Texas,Corporate,Technology,Machines,Phones Model 4 (Technology),3,542.34,0.0,1627.02,213.83,Beta LLC
ORD-100117,2022-04-03,2022-04-04,East,Pennsylvania,Home Office,Furniture,Bookcases,Furnishings Model 1 (Furniture),1,0.37,10.81,0.33,0.09,Gamma Solutions
ORD-100118,2024-07-18,2024-07-24,Central,Missouri,Corporate,Office Supplies,Paper,Storage Model 4 (Technology),3,0.99,5.05,2.82,0.81,Beta Solutions
ORD-100119,2024-04-15,2024-04-20,West,Washington,Consumer,Furniture,Furnishings,Paper Model 7 (Office Supplies),3,316.62,10.0,854.87,152.29,Zeta Corp
ORD-100120,2024-01-23,2024-02-01,South,Louisiana,Consumer,Furniture,Furnishings,Furnishings Model 6 (Furniture),1,236.94,5.0,225.09,17.42,Beta Solutions
ORD-100121,2022-07-07,2022-07-11,Central,Missouri,Corporate,Furniture,Bookcases,Machines Model 1 (Technology),1,45.39,0.0,45.39,8.44,Delta LLC
ORD-100122,2023-02-25,2023-02-27,South,North Carolina,Consumer,Furniture,Chairs,Machines Model 5 (Technology),1,4.45,0.0,4.45,0.95,Zeta LLC
ORD-100123,2022-01-06,2022-01-11,South,Alabama,Consumer,Furniture,Tables,Machines Model 3 (Technology),3,230.72,5.0,657.55,157.13,Beta Corp
ORD-100124,2022-09-27,2022-09-28,East,New Jersey,Consumer,Technology,Machines,Bookcases Model 3 (Furniture),3,492.07,0.0,1476.21,11.54,Epsilon Corp
ORD-100125,2022-09-17,2022-09-24,East,New York,Corporate,Office Supplies,Art,Accessories Model 10 (Technology),2,2.09,0.0,4.18,1.19,Beta Solutions
ORD-100126,2024-10-28,2024-11-01,South,Georgia,Home Office,Technology,Machines,Paper Model 9 (Office Supplies),3,172.14,5.0,490.6,151.08,Alpha Corp
ORD-100127,2024-09-07,2024-09-14,East,New York,Consumer,Office Supplies,Art,Bookcases Model 10 (Furniture),3,20.47,0.0,61.41,9.75,Zeta Enterprises
ORD-100128,2022-10-31,2022-11-02,West,Arizona,Home Office,Technology,Machines,Binders Model 9 (Office Supplies),4,443.16,0.0,1772.64,230.28,Epsilon Solutions
ORD-100129,2024-11-01,2024-11-11,East,New York,Corporate,Technology,Accessories,Paper Model 6 (Office Supplies),4,138.93,0.0,555.72,114.35,Delta Solutions
ORD-100130,2023-11-26,2023-12-04,East,New York,Home Office,Office Supplies,Art,Binders Model 1 (Office Supplies),1,14.33,0.0,14.33,4.12,Epsilon Inc
ORD-100131,2022-11-09,2022-11-17,West,California,Home Office,Furniture,Furnishings,Chairs Model 3 (Furniture),7,16.81,20.0,94.14,16.62,Zeta LLC
ORD-100132,2022-05-03,2022-05-13,South,North Carolina,Corporate,Office Supplies,Binders,Paper Model 3 (Office Supplies),1,18.87,0.0,18.87,4.95,Kappa Corp
ORD-100133,2023-08-13,2023-08-23,East,New York,Home Office,Technology,Accessories,Chairs Model 10 (Furniture),2,140.55,15.0,238.94,50.94,Lambda LLC
ORD-100134,2022-08-10,2022-08-16,South,Louisiana,Consumer,Furniture,Tables,Art Model 4 (Office Supplies),7,31.38,0.0,219.66,46.14,Kappa Enterprises
ORD-100135,2022-02-23,2022-03-05,South,Louisiana,Home Office,Furniture,Chairs,Furnishings Model 5 (Furniture),2,168.68,0.0,337.36,63.46,Epsilon Inc
ORD-100136,2023-12-20,2023-12-21,West,Oregon,Consumer,Technology,Storage,Bookcases Model 9 (Furniture),5,419.75,15.0,1783.94,381.64,Alpha Corp
ORD-100137,2024-12-22,2024-12-26,East,Pennsylvania,Corporate,Office Supplies,Paper,Binders Model 8 (Office Supplies),5,23.28,20.0,93.12,25.03,Zeta Enterprises
ORD-100138,2022-06-23,2022-06-24,West,Arizona,Corporate,Furniture,Bookcases,Furnishings Model 5 (Furniture),4,163.96,0.0,655.84,86.38,Kappa Solutions
ORD-100139,2024-06-24,2024-07-01,West,Arizona,Consumer,Furniture,Tables,Paper Model 6 (Office Supplies),2,32.04,4.99,60.88,6.55,Epsilon Enterprises
ORD-100140,2024-09-23,2024-10-02,Central,Illinois,Consumer,Furniture,Furnishings,Art Model 7 (Office Supplies),3,318.12,15.0,811.21,135.6,Alpha LLC
ORD-100141,2023-09-10,2023-09-14,Central,Michigan,Consumer,Office Supplies,Labels,Chairs Model 6 (Furniture),2,16.5,5.0,31.35,8.76,Lambda Solutions
ORD-100142,2022-12-26,2022-12-29,East,New Jersey,Corporate,Technology,Machines,Bookcases Model 10 (Furniture),2,250.45,10.0,450.81,52.6,Alpha Solutions
ORD-100143,2022-02-08,2022-02-16,South,Louisiana,Corporate,Technology,Storage,Art Model 4 (Office Supplies),1,310.38,10.0,279.34,22.23,Kappa Inc
ORD-100144,2022-08-24,2022-08-31,West,Washington,Home Office,Furniture,Furnishings,Machines Model 7 (Technology),3,224.35,0.0,673.05,59.94,Zeta Corp
ORD-100145,2024-06-13,2024-06-15,West,Arizona,Corporate,Office Supplies,Binders,Paper Model 1 (Office Supplies),2,9.48,10.02,17.06,3.87,Zeta LLC
ORD-100146,2023-11-14,2023-11-17,West,California,Corporate,Technology,Accessories,Storage Model 6 (Technology),5,19.65,0.0,98.25,7.33,Zeta LLC
ORD-100147,2023-04-29,2023-05-01,West,Oregon,Home Office,Furniture,Chairs,Accessories Model 8 (Technology),2,283.37,0.0,566.74,65.94,Beta LLC
ORD-100148,2024-10-08,2024-10-16,Central,Missouri,Home Office,Office Supplies,Labels,Storage Model 1 (Technology),5,21.14,0.0,105.7,38.14,Zeta LLC
ORD-100149,2024-06-19,2024-06-21,East,Massachusetts,Home Office,Office Supplies,Binders,Binders Model 6 (Office Supplies),10,13.5,0.0,135.0,34.94,Beta Inc
ORD-100150,2024-08-03,2024-08-11,West,Washington,Consumer,Office Supplies,Binders,Phones Model 3 (Technology),4,16.72,4.99,63.54,16.06,Kappa Solutions
ORD-100151,2022-03-26,2022-04-03,South,North Carolina,Home Office,Technology,Accessories,Binders Model 2 (Office Supplies),4,459.85,15.0,1563.49,382.5,Lambda Enterprises
ORD-100152,2022-11-05,2022-11-06,East,Massachusetts,Home Office,Technology,Phones,Labels Model 5 (Office Supplies),3,442.13,-0.0,1326.39,231.47,Gamma Corp
ORD-100153,2023-05-23,2023-05-31,South,North Carolina,Corporate,Technology,Accessories,Binders Model 7 (Office Supplies),2,34.39,5.0,65.34,13.58,Epsilon Solutions
ORD-100154,2024-04-17,2024-04-23,Central,Illinois,Corporate,Technology,Machines,Bookcases Model 9 (Furniture),1,488.1,0.0,488.1,57.82,Beta Enterprises
ORD-100155,2024-03-02,2024-03-07,West,Arizona,Home Office,Furniture,Tables,Chairs Model 1 (Furniture),1,184.28,10.0,165.85,9.6,Gamma Inc
ORD-100156,2023-09-28,2023-10-05,West,California,Corporate,Office Supplies,Art,Phones Model 3 (Technology),4,3.93,9.99,14.15,3.39,Gamma Enterprises
ORD-100157,2022-07-11,2022-07-18,East,New York,Consumer,Office Supplies,Labels,Tables Model 4 (Furniture),2,25.1,0.0,50.2,16.5,Zeta Solutions
ORD-100158,2023-01-29,2023-02-02,South,Alabama,Consumer,Furniture,Tables,Machines Model 9 (Technology),4,52.73,0.0,210.92,58.97,Alpha Inc
ORD-100159,2022-09-26,2022-10-06,East,New Jersey,Corporate,Furniture,Chairs,Accessories Model 3 (Technology),4,208.9,0.0,835.6,138.91,Alpha Solutions
ORD-100160,2024-01-17,2024-01-21,South,North Carolina,Home Office,Office Supplies,Art,Tables Model 10 (Furniture),5,20.13,10.0,90.58,25.08,Delta Inc
ORD-100161,2024-08-18,2024-08-22,East,Florida,Corporate,Office Supplies,Art,Accessories Model 9 (Technology),2,16.77,9.99,30.19,8.83,Kappa Enterprises
ORD-100162,2024-12-16,2024-12-23,South,Alabama,Corporate,Technology,Accessories,Storage Model 2 (Technology),2,237.67,0.0,475.34,122.66,Alpha Solutions
ORD-100163,2024-01-31,2024-02-09,South,North Carolina,Consumer,Furniture,Tables,Chairs Model 1 (Furniture),1,9.03,9.97,8.13,1.74,Epsilon Solutions
